Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.868288994,30.48047,42.375,3.703125,262.8125,0
1.922994137,30.46875,42.46875,3.70375,268.125,0
2.978199959,30.45313,42.46875,3.70125,259.0625,0
3.856632709,30.44141,42.375,3.705,267.5,0
4.911970139,30.42969,42.375,3.70125,279.0625,0
5.966276646,30.41797,42.375,3.701875,278.75,0
7.021229744,30.40625,42.375,3.700625,273.125,0
7.900153160,30.39453,42.375,3.7025,256.25,0
8.954819679,30.38281,42.28125,3.701875,263.75,0
10.009650707,30.37109,42.1875,3.7,264.6875,0
10.888737679,30.35547,42.1875,3.695,277.5,0
11.943629265,30.34375,42.1875,3.7025,275.3125,0
12.998270988,30.33203,42.1875,3.700625,271.5625,0
13.877183914,30.32031,42,3.700625,259.0625,0
14.932086468,30.30859,42,3.70125,259.0625,0
15.987003326,30.29688,42.09375,3.693125,268.4375,0
16.865835667,30.28516,41.8125,3.7025,263.4375,0
17.921055794,30.27344,42,3.69875,263.75,0
18.975470066,30.25781,42,3.701875,262.1875,0
19.854519367,30.25781,42,3.7,274.0625,0
20.909073830,30.23438,42.09375,3.7025,254.6875,0
21.964083195,30.22266,42.09375,3.7025,256.875,0
23.018799782,30.21094,42.09375,3.699375,258.125,0
23.898007870,30.21094,42,3.703125,263.4375,0
24.952442169,30.19922,42,3.700625,264.6875,0
26.007382870,30.1875,42,3.7025,266.5625,0
26.886383057,30.17578,42,3.7025,269.375,0
27.941041470,30.16016,41.90625,3.700625,269.375,0
28.995797634,30.14844,42,3.700625,254.0625,0
